""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Harry Potter and the Deathly Hallows: Part 1 (2010) : 7646
Harry Potter and the Deathly Hallows: Part 2 (2011) : 7817
Harry Potter and the Goblet of Fire (2005) : 6276
Harry Potter and the Half-Blood Prince (2009) : 7250
Harry Potter and the Order of the Phoenix (2007) : 6713
Harry Potter and the Prisoner of Azkaban (2004) : 5387
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001) : 3810
Harry and Tonto (1974) : 5760
Harry and the Hendersons (1987) : 2702
Harsh Times (2006) : 6557
Hart's War (2002) : 3950
Harum Scarum (1965) : 5540
Harvey (1950) : 2481
Harvie Krumpet (2003) : 6084
Hatari! (1962) : 3687
Hated (1994) : 7588
Haunt (2013) : 8577
Haunted (1995) : 3166
Haunted Honeymoon (1986) : 2230
Hav Plenty (1997) : 1470
Havana (1990) : 5824
Hawk the Slayer (1980) : 3987
Haxan: Witchcraft Through the Ages (a.k.a. The Witches) (1922) : 5643
Haywire (2011) : 7954
He Got Game (1998) : 1426
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002) : 4487
He Ran All the Way (1951) : 7791
He Walked by Night (1948) : 919
He's Just Not That Into You (2009) : 7140
Head On (1998) : 2222
Head Over Heels (2001) : 3304
Head of State (2003) : 4543
Head-On (Gegen die Wand) (2004) : 5918
Headhunters (Hodejegerne) (2011) : 7896
Hear My Song (1991) : 939
Heart Condition (1990) : 1861
Heart and Souls (1993) : 2767
Heartbreak Ridge (1986) : 1982
Heartbreakers (2001) : 3368
Heartburn (1986) : 1927
Heartless (2009) : 7580
Hearts and Minds (1974) : 5761
Hearts and Minds (1996) : 1155
Hearts in Atlantis (2001) : 3763
Hearts of Darkness: A Filmmakers Apocalypse (1991) : 5834
Hearts of the West (1975) : 7979
Heat (1995) : 5
Heathers (1989) : 1039
Heaven & Earth (1993) : 413
Heaven (2002) : 4237
Heaven Can Wait (1943) : 5676
Heaven Can Wait (1978) : 2224
Heaven's Prisoners (1996) : 614
Heavenly Creatures (1994) : 219
Heavy (1995) : 636
Heavy Metal (1981) : 537
Heavyweights (Heavy Weights) (1995) : 222
Hedwig and the Angry Inch (2000) : 3645
Heidi (1937) : 3944
Heidi Fleiss: Hollywood Madam (1995) : 91
Heima (2007) : 6888
Heist (2001) : 3806
Helen of Troy (1956) : 5398
Hell Night (1981) : 2306
Hell in the Pacific (1968) : 2527
Hellbound: Hellraiser II (1988) : 3129
Hellboy (2004) : 5123
Hellboy II: The Golden Army (2008) : 6858
Hello Ladies: The Movie (2014) : 8699
Hellraiser (1987) : 3128
Hellraiser III: Hell on Earth (1992) : 3130
Hellraiser: Bloodline (1996) : 538
Hells Angels on Wheels (1967) : 5045
Hellsing Ultimate OVA Series (2006) : 7414
Help! (1965) : 2365
Helter Skelter (1976) : 8639
Helvetica (2007) : 6825
Henry & June (1990) : 5159
Henry Fool (1997) : 1471
Henry Poole is Here (2008) : 7000
Henry V (1989) : 980
Henry's Crime (2010) : 7757
Henry: Portrait of a Serial Killer (1986) : 1714
Her (2013) : 8442
Her Alibi (1989) : 3616
Herbie Goes Bananas (1980) : 1611
Herbie Goes to Monte Carlo (1977) : 1612
Herbie Rides Again (1974) : 815
Herbie: Fully Loaded (2005) : 6145
Hercules (1997) : 1246
Hercules (2014) : 8605
Hercules in New York (1970) : 4909
Here Comes the Boom (2012) : 8146
Here on Earth (2000) : 2757
Hereafter (2010) : 7631
Hero (1992) : 1779
Hero (Ying xiong) (2002) : 4982
Hesher (2010) : 7843
Hester Street (1975) : 5994
Hey Arnold! The Movie (2002) : 4138
Hidalgo (2004) : 5100
Hidden (a.k.a. Cache) (Caché) (2005) : 6193
Hide and Seek (2005) : 6015
Hideaway (1995) : 212
Hideous Kinky (1998) : 2077
Hiding Out (1987) : 3287
High Anxiety (1977) : 5771
High Art (1998) : 1466
High Crimes (2002) : 4040
High Fidelity (2000) : 2780
High Hopes (1988) : 7260
High Noon (1952) : 1037
High Plains Drifter (1973) : 2343
High School High (1996) : 676
High School Musical (2006) : 6436
High School Musical 2 (2007) : 6997
High School Musical 3: Senior Year (2008) : 7046
High Sierra (1941) : 5054
High Society (1956) : 4595
High Spirits (1988) : 3556
High Tension (Haute tension) (Switchblade Romance) (2003) : 6138
High and Low (Tengoku to jigoku) (1963) : 5272
Higher Learning (1995) : 323
Highlander (1986) : 1029
Highlander II: The Quickening (1991) : 4910
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994) : 357
Highlander: Endgame (Highlander IV) (2000) : 3106
Hilary and Jackie (1998) : 1951
Hillbillys in a Haunted House (1967) : 2762
Himalaya (Himalaya - l'enfance d'un chef) (1999) : 3422
Hiroshima Mon Amour (1959) : 5350
His Girl Friday (1940) : 771
History of the World: Part I (1981) : 1820
Hitch (2005) : 6029
Hitchcock (2012) : 8177
Hitler: The Rise of Evil (2003) : 5917
Hitman (2007) : 6813
Hitman: Agent 47 (2015) : 8841
Hobo with a Shotgun (2011) : 7753
Hobson's Choice (1954) : 6009
Hocus Pocus (1993) : 1613
Hoffa (1992) : 4911
Holding Trevor (2007) : 7974
Holes (2003) : 4561
Holiday (1938) : 5668
Holiday Inn (1942) : 2459
Hollow Man (2000) : 3059
Hollow Reed (1996) : 1213
Hollywood Ending (2002) : 4080
Hollywood Homicide (2003) : 4662
Hollywood Shuffle (1987) : 3288
Hollywoodland (2006) : 6495
Holy Man (1998) : 1825
Holy Motors (2012) : 8119
Holy Smoke (1999) : 2515
Home (2009) : 7234
Home (2015) : 8810
Home Alone (1990) : 519
Home Alone 2: Lost in New York (1992) : 2372
Home Alone 3 (1997) : 1353
Home Alone 4 (2002) : 7710
Home Fries (1998) : 1895
Home for the Holidays (1995) : 53
Home on the Range (2004) : 5124
Homegrown (1998) : 1416
Homeward Bound II: Lost in San Francisco (1996) : 536
Homeward Bound: The Incredible Journey (1993) : 819
Homicide (1991) : 5835
Honey (2003) : 5010
Honeymoon (2014) : 8631
Honeymoon in Vegas (1992) : 2884
Honeysuckle Rose (a.k.a. On the Road Again) (1980) : 3988
Honkytonk Man (1982) : 4453
Hood of Horror (2006) : 7243
Hoodlum (1997) : 1273
Hoodwinked! (2005) : 6321
Hook (1991) : 2784
Hoop Dreams (1994) : 218
Hoosiers (a.k.a. Best Shot) (1986) : 2686
Hop (2011) : 7758
Hope Floats (1998) : 1459
Hope and Glory (1987) : 3289
Hopscotch (1980) : 3989
Horns (2014) : 8645
Horrible Bosses (2011) : 7809
Horrible Bosses 2 (2014) : 8702
Horror Express (1972) : 2785
Horror of Dracula (Dracula) (1958) : 4246
Horrors of Spider Island (Ein Toter Hing im Netz) (1960) : 3246
Horse Feathers (1932) : 4983
Horton Hears a Who! (2008) : 6879
Hostage (2005) : 6052
Hostel (2005) : 6316
Hostel: Part II (2007) : 6694
Hostel: Part III (2011) : 7959
Hot Dog... The Movie (1984) : 4725
Hot Fuzz (2007) : 6621
Hot Lead and Cold Feet (1978) : 1616
Hot Pursuit (2015) : 8851
Hot Rod (2007) : 6718
Hot Shots! (1991) : 4189
Hot Shots! Part Deux (1993) : 414
Hot Tub Time Machine (2010) : 7477
Hotel Chevalier (Part 1 of 'The Darjeeling Limited') (2007) : 8472
Hotel Rwanda (2004) : 5971
Hotel Transylvania (2012) : 8128
Hotel Transylvania 2 (2015) : 8963
Hotel de Love (1996) : 1177
House (1986) : 1706
House (Hausu) (1977) : 6591
House Arrest (1996) : 683
House II: The Second Story (1987) : 1707
House Party (1990) : 3018
House Party 2 (1991) : 3019
House Party 3 (1994) : 418
House of 1000 Corpses (2003) : 4556
House of Flying Daggers (Shi mian mai fu) (2004) : 5626
House of Frankenstein (1944) : 2119
House of Games (1987) : 3236
House of Sand and Fog (2003) : 5021
House of Wax (1953) : 4726
House of Wax (2005) : 6115
House on Haunted Hill (1959) : 2016
House on Haunted Hill (1999) : 2405
Houseboat (1958) : 4333
Housebound (2014) : 8613
Houseguest (1994) : 220
Housesitter (1992) : 4912
How Do You Know (2010) : 7669
How Green Was My Valley (1941) : 1497
How High (2001) : 3866
How I Got Into College (1989) : 5497
How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père) (2001) : 4185
How Stella Got Her Groove Back (1998) : 1712
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000) : 3192
How the Grinch Stole Christmas! (1966) : 6652
How the West Was Won (1962) : 5484
How to Be Single (2016) : 8999
How to Be a Player (1997) : 1304
How to Get Ahead in Advertising (1989) : 3617
How to Lose Friends & Alienate People (2008) : 7023
How to Lose a Guy in 10 Days (2003) : 4482
How to Make Love Like an Englishman (2014) : 8916
How to Make Love to a Woman (2010) : 8188
How to Make an American Quilt (1995) : 44
How to Marry a Millionaire (1953) : 3453
How to Steal a Million (1966) : 5310
How to Stuff a Wild Bikini (1965) : 2812
How to Succeed in Business Without Really Trying (1967) : 5256
How to Survive a Plague (2012) : 8138
How to Train Your Dragon (2010) : 7479
How to Train Your Dragon 2 (2014) : 8575
Howard the Duck (1986) : 1958
Howards End (1992) : 2616
Howl (2010) : 7598
Howl's Moving Castle (Hauru no ugoku shiro) (2004) : 6026
Howling II: Your Sister Is a Werewolf (1985) : 2127
Hud (1963) : 2768
Hudson Hawk (1991) : 4913
Hugo (2011) : 7904
Huhwihaji Anha (No Regret) (2006) : 7277
Hulk (2003) : 4681
Human Nature (2001) : 4050
Human Traffic (1999) : 2863
Hunger (2008) : 7077
Hurlyburly (1998) : 1944
Husbands and Wives (1992) : 4074
Hush (1998) : 1402
Hush (2016) : 9031
Hush! (2001) : 4184
Hustle & Flow (2005) : 6165
Hustler White (1996) : 913
Hyde Park on Hudson (2012) : 8187
Hyena Road,(no genres listed) : 8968
Hype! (1996) : 1061
I Am Cuba (Soy Cuba/Ya Kuba) (1964) : 2601
I Am Curious (Yellow) (Jag är nyfiken - en film i gult) (1967) : 4538
I Am David (2003) : 5625
I Am Legend (2007) : 6816
I Am Number Four (2011) : 7731
I Am Sam (2001) : 3885
I Am Trying to Break Your Heart (2002) : 4569
I Am Wrath (2016) : 9034
I Am a Fugitive from a Chain Gang (1932) : 5313
I Bury the Living (1958) : 3835
I Can't Sleep (J'ai pas sommeil) (1994) : 1109
I Could Never Be Your Woman (2007) : 6756
I Don't Know How She Does It (2011) : 7859
I Dreamed of Africa (2000) : 2861
I Got the Hook Up (1998) : 1457
I Heart Huckabees (2004) : 5581
I Know That Voice (2013) : 8462
I Know What You Did Last Summer (1997) : 1308
I Know Where I'm Going! (1945) : 3341
I Love Trouble (1994) : 324
I Love You Phillip Morris (2009) : 7426
I Married A Strange Person! (1997) : 1740
I Never Promised You a Rose Garden (1977) : 3759
I Now Pronounce You Chuck and Larry (2007) : 6714
I Origins (2014) : 8600
I Saw What You Did (1965) : 2286
I Saw the Devil (Akmareul boatda) (2010) : 7673
I Sell the Dead (2008) : 7332
I Shot Andy Warhol (1996) : 638
I Spit on Your Grave (Day of the Woman) (1978) : 4362
I Spy (2002) : 4315
I Stand Alone (Seul contre tous) (1998) : 2049
I Still Know What You Did Last Summer (1998) : 1851
I Think I Do (1997) : 4008
I Walked with a Zombie (1943) : 5255
I Want to Live! (1958) : 4104
I Was a Male War Bride (1949) : 5052
I Went Down (1997) : 1474
I'll Be Home For Christmas (1998) : 1852
I'll Do Anything (1994) : 420
I'll See You in My Dreams (2015) : 8768
I'll Sleep When I'm Dead (2003) : 5430
I'm Gonna Git You Sucka (1988) : 3256
I'm No Angel (1933) : 4973
I'm Not Rappaport (1996) : 1064
I'm Not Scared (Io non ho paura) (2003) : 5130
I'm Not There (2007) : 6820
I'm Still Here (2010) : 7599
I'm the One That I Want (2000) : 3080
I've Loved You So Long (Il y a longtemps que je t'aime) (2008) : 7094
I.Q. (1994) : 224
Ice Age (2002) : 3999
Ice Age 2: The Meltdown (2006) : 6361
Ice Age 4: Continental Drift (2012) : 8064
Ice Age: Dawn of the Dinosaurs (2009) : 7239
Ice Age: The Great Egg-Scapade (2016) : 9027
Ice Castles (1978) : 3423
Ice Princess (2005) : 6064
Ichi the Killer (Koroshiya 1) (2001) : 5061
Ida (2013) : 8423
Identity (2003) : 4576
Identity Thief (2013) : 8244
Idiocracy (2006) : 6498
Idiots and Angels (2008) : 7775
Idle Hands (1999) : 2085
If Lucy Fell (1996) : 107
If.... (1968) : 1807
Igby Goes Down (2002) : 4206
Igor (2008) : 7075
Ikiru (1952) : 4744
Illuminata (1998) : 2216
Imaginary Crimes (1994) : 3245
Imaginary Heroes (2004) : 5996
Imagine Me & You (2005) : 6343
Imagine: John Lennon (1988) : 3557
Imitation of Life (1959) : 4432
Immediate Family (1989) : 3618
Immortal Beloved (1994) : 221
Immortals (2011) : 7906
Impostor (2002) : 3905
Impromptu (1991) : 4039
In & Out (1997) : 1285
In America (2002) : 5009
In Bruges (2008) : 6859
In China They Eat Dogs (I Kina spiser de hunde) (1999) : 5319
In Cold Blood (1967) : 4833
In Dreams (1999) : 1954
In God's Hands (1998) : 1400
In Good Company (2004) : 5980
In Her Shoes (2005) : 6235
In July (Im Juli) (2000) : 5875
In Love and War (1996) : 1136
In My Skin (Dans ma Peau) (2002) : 4874
In Old Chicago (1937) : 6205
In Praise of Older Women (1978) : 5777
In Search of the Castaways (1962) : 1617
In This Our Life (1942) : 5176
In This World (2002) : 4781
In Time (2011) : 7887
In Too Deep (1999) : 2255
In a Lonely Place (1950) : 4548
In a World... (2013) : 8365
In the Army Now (1994) : 421
In the Bedroom (2001) : 3816
In the Bleak Midwinter (1995) : 88
In the City of Sylvia (En la ciudad de Sylvia) (2007) : 7001
In the Company of Men (1997) : 1266
In the Cut (2003) : 4854
In the Electric Mist (2009) : 7217
In the Heat of the Night (1967) : 1512
In the Land of Women (2007) : 6665
In the Line of Fire (1993) : 422
In the Loop (2009) : 7180
In the Mood For Love (Fa yeung nin wa) (2000) : 3307
In the Mouth of Madness (1995) : 358
In the Name of the Father (1993) : 423
In the Name of the King: A Dungeon Siege Tale (2008) : 6847
In the Realm of the Senses (Ai no corrida) (1976) : 442
In the Realms of the Unreal (2004) : 5987
In the Valley of Elah (2007) : 6755
Inauguration of the Pleasure Dome (1954) : 8041
Incendies (2010) : 7776
Inception (2010) : 7551
Incident at Oglala (1992) : 4746
Indecent Proposal (1993) : 1795
Independence Day (a.k.a. ID4) (1996) : 644
Independence Day: Resurgence (2016) : 8876
Indestructible Man (1956) : 5330
Indian Summer (a.k.a. Alive & Kicking) (1996) : 1306
Indiana Jones and the Kingdom of the Crystal Skull (2008) : 6935
Indiana Jones and the Last Crusade (1989) : 1045
Indiana Jones and the Temple of Doom (1984) : 1675
Indie Game: The Movie (2012) : 8162
Indiscreet (1958) : 3750
Indochine (1992) : 2362
Inequality for All (2013) : 8394
Inescapable (2012) : 8386
Infernal Affairs (Mou gaan dou) (2002) : 5292
Infernal Affairs 2 (Mou gaan dou II) (2003) : 5936
Inferno (1980) : 2865
Infini (2015) : 8845
Inglorious Bastards (Quel maledetto treno blindato) (1978) : 6649
Inglourious Basterds (2009) : 7185
Inhale (2010) : 8032
Inherent Vice (2014) : 8682
Inherit the Wind (1960) : 2770
Ink (2009) : 7317
Inkheart (2008) : 7129
Inland Empire (2006) : 6573
Innerspace (1987) : 3290
Innocence (2000) : 3707
Innocent Voices (Voces inocentes) (2004) : 6140
Inside (À l'intérieur) (2007) : 6902
Inside Deep Throat (2005) : 6030
Inside Job (2010) : 7618
Inside Llewyn Davis (2013) : 8434
Inside Man (2006) : 6367
Inside Out (2015) : 8863
Insidious (2010) : 7752
Insomnia (1997) : 1460
Insomnia (2002) : 4107
Inspector Gadget (1999) : 2177
Instinct (1999) : 2142
Insurgent (2015) : 8809
Intact (Intacto) (2001) : 4390
Interiors (1978) : 3049
Internal Affairs (1990) : 5224
Intersection (1994) : 3976
Interstate 60 (2002) : 4863
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003) : 5934
Interstellar (2014) : 8507
Interview with the Assassin (2002) : 4323
Interview with the Vampire: The Vampire Chronicles (1994) : 225
Intervista (1987) : 4623
Intimate Strangers (Confidences trop intimes) (2004) : 5923
Into the Arms of Strangers: Stories of the Kindertransport (2000) : 3735
Into the Blue (2005) : 6227
Into the Grizzly Maze (2015) : 8969
Into the Wild (2007) : 6765
Into the Woods (1991) : 5447
Into the Woods (2014) : 8723
Intolerable Cruelty (2003) : 4845
Intouchables (2011) : 7962
Introducing Dorothy Dandridge (1999) : 7267
Invasion U.S.A. (1985) : 3836
Invasion of the Body Snatchers (1956) : 2134
Invasion of the Body Snatchers (1978) : 4914
Inventing the Abbotts (1997) : 1207
Invictus (2009) : 7380
Invincible (2001) : 4225
Involuntary (De ofrivilliga) (2008) : 7114
Ip Man (2008) : 7119
Ip Man 2 (2010) : 7569
Irina Palm (2007) : 6780
Iris (2001) : 3857
Irma la Douce (1963) : 2472
Iron Eagle (1986) : 2256
Iron Eagle II (1988) : 2257
Iron Man (2008) : 6920
Iron Man 2 (2010) : 7502
Iron Man 3 (2013) : 8283
Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993) : 3781
Iron Sky (2012) : 8005
Iron Will (1994) : 4086
Ironweed (1987) : 3291
Irrational Man (2015) : 8910
Irreversible (Irréversible) (2002) : 4509
Ishtar (1987) : 3292
Ismael (2013) : 8797
Isn't She Great? (2000) : 2596
It (1990) : 5825
It Came from Hollywood (1982) : 2130
It Came from Outer Space (1953) : 2132
It Could Happen to You (1994) : 325
It Follows (2014) : 8740
It Had to Be You (2000) : 5406
It Happened One Night (1934) : 726
It Might Get Loud (2008) : 7283
It Takes Two (1995) : 36
It's All About Love (2003) : 5612
It's Complicated (2009) : 7389
It's Kind of a Funny Story (2010) : 7605
It's My Party (1996) : 582
It's Pat (1994) : 4825
It's Such a Beautiful Day (2012) : 8221
It's a Boy Girl Thing (2006) : 6609
It's a Free World... (2007) : 6867
It's a Very Merry Muppet Christmas Movie (2002) : 6670
It's a Wonderful Life (1946) : 773
Italian for Beginners (Italiensk for begyndere) (2000) : 3909
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973) : 8295
Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962) : 6102
J. Edgar (2011) : 7900
JFK (1991) : 2700
Jabberwocky (1977) : 3817
Jack (1996) : 637
Jack Frost (1998) : 1902
Jack Reacher (2012) : 8199
Jack Ryan: Shadow Recruit (2014) : 8470
Jack and Jill (2011) : 7907
Jack and Sarah (1995) : 557
Jack the Giant Slayer (2013) : 8256
Jack-Jack Attack (2005) : 8053
Jackass 3.5 (2011) : 8161
Jackass 3D (2010) : 7626
Jackass Number Two (2006) : 6514
Jackass Presents: Bad Grandpa (2013) : 8410
Jackass: The Movie (2002) : 4306
Jackie Brown (1997) : 1364
Jacob's Ladder (1990) : 2775
Jade (1995) : 118
Jagged Edge (1985) : 2494
Jakob the Liar (1999) : 2310
Jalla! Jalla! (2000) : 5893
Jamaica Inn (1939) : 1754
James and the Giant Peach (1996) : 567
Jane Austen's Mafia! (1998) : 1589
Jane Eyre (1944) : 4900
Jane Eyre (1970) : 5038
Jane Eyre (1996) : 540
Jane Eyre (2011) : 7745
Jarhead (2005) : 6263
Jason Bourne (2016) : 9048
Jason Goes to Hell: The Final Friday (1993) : 4270
Jason X (2002) : 4066
Jason and the Argonauts (1963) : 5210
Jason's Lyric (1994) : 353
Jawbreaker (1999) : 2002
Jaws (1975) : 1125
Jaws 2 (1978) : 1126
Jaws 3-D (1983) : 1127
Jaws: The Revenge (1987) : 3293
Jay and Silent Bob Strike Back (2001) : 3710
Jazz (2001) : 8183
Jean de Florette (1986) : 908
Jeepers Creepers (2001) : 3718
Jeepers Creepers 2 (2003) : 4752
Jefferson in Paris (1995) : 226
Jeffrey (1995) : 150
Jennifer 8 (1992) : 2843
Jennifer's Body (2009) : 7298
Jeremiah Johnson (1972) : 2470
Jerry Maguire (1996) : 1131
Jerry Seinfeld: 'I'm Telling You for the Last Time' (1998) : 5966
Jerry Springer: Ringmaster (1998) : 1896
Jersey Girl (2004) : 5118
Jerusalema (Gangster's Paradise: Jerusalema) (2008) : 7268
Jesus Camp (2006) : 6499
Jesus Christ Superstar (1973) : 4954
Jesus of Montreal (Jésus de Montréal) (1989) : 3621
Jesus' Son (1999) : 2999
Jet Li's Fearless (Huo Yuan Jia) (2006) : 6437
Jezebel (1938) : 4970
Jimmy Neutron: Boy Genius (2001) : 3867
Jin Roh: The Wolf Brigade (Jin-Rô) (1998) : 5337
Jingle All the Way (1996) : 1103
Jiro Dreams of Sushi (2011) : 8003
Joan Rivers: A Piece of Work (2010) : 7533
Jobs (2013) : 8361
Jodorowsky's Dune (2013) : 8548
Joe Dirt (2001) : 3381
Joe Strummer: The Future Is Unwritten (2007) : 6861
Joe Versus the Volcano (1990) : 4055
Joe's Apartment (1996) : 672
John Carter (2012) : 7993
John Dies at the End (2012) : 8211
John Q (2002) : 3951
John Tucker Must Die (2006) : 6464
John Wick (2014) : 8654
Johnny Be Good (1988) : 3558
Johnny Belinda (1948) : 5410
Johnny Dangerously (1984) : 4199
Johnny Eager (1942) : 5412
Johnny English (2003) : 4690
Johnny English Reborn (2011) : 7892
Johnny Guitar (1954) : 5465
Johnny Mnemonic (1995) : 151
Johnny Stecchino (1991) : 5836
Johnny Suede (1991) : 5841
Johns (1996) : 860
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000) : 5891
Joker (2012) : 8335
Jonah Hex (2010) : 7530
Jonah: A VeggieTales Movie (2002) : 4234
Jonestown: The Life and Death of Peoples Temple (2006) : 6681
Josie and the Pussycats (2001) : 3382
